name,lat,long,percent,uni_name,uni_percent
Amsterdam,52.370216,4.895168,5.2,University Van Amsterdam|VU Amsterdam|Royal Tropical Institute|Inholland Univerisity Of Applied Science Diemen|Duisenberg School Of Finance,80|20
Rotterdam,51.92442,4.477733,12.5,Erasmus University|Hogeschool Inholland Rotterdam|STC-Netherland Maritime University|Rotterdam Business School,80|20
Delft,52.011577,4.357068,7.3,TU Delft|Unesco IHE,80|20
Den Haag,52.070498,4.3007,6.6,The Hague University Of Applied Science|De Haagse Hogeschool|ISS,80|20
Deventer,52.266075,6.155217,3.7,Saxion University,80|20
Enschede,52.221537,6.893662,12.7,University Of Twente|ITC|Saxion University,80|20
Eindhoven,51.441642,5.469722,3.7,Eindhoven University|Fontys University|TU Eindhoven,80|20
Groningen,53.219383,6.566502,18.5,University Of Groningen|Hanze Hogeschool,80|20
Leiden,52.160114,4.49701,6.3,Leiden University|LUMC|KITLV Leiden|Vrite University,80|20
Leuwarden,53.201233,5.799913,3,University Twente,80|20
Maastricht,50.851368,5.690973,2.3,Maastricht University|Hotel School Maastricht- Zuyd University,80|20
Nijmegen,51.812563,5.837226,4.4,Radboud University|Hogeschool Van Nijmegen/Arnhem,80|20
Tilburg,51.560596,5.091914,3.7,Tilburg University|Tiasnimbas Business School,80|20
Utrecht,52.090737,5.12142,3.5,Utrecht University|Tiasnimbas Business School|Hogeschool Utrecht,80|20
Wageningen,51.969187,5.665395,6.5,University Wageningen|Van Hallarenstein|Wageningen Gelderland,80|20
